Library	Iteration	Term	Description	iteration overlapping genes	iteration p-value	iteration -log(p-value)	Genes removed for next iteration	Full list overlapping genes	Full list p-value	Regular FDR	Full list overlapping genes (gene names)
Reactome	1	REACTOME: REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	8/32	1.9747035830536053e-08	7.704498085812451	GCK, NUP107, NUP133, NUP153, NUP155, NUP160, NUP85, RANBP2	8/32	1.9747035830536053e-08	2.78235734852253e-05	GCK, NUP107, NUP133, NUP153, NUP155, NUP160, NUP85, RANBP2
Reactome	2	REACTOME: ASPARAGINE N LINKED GLYCOSYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	19/312	1.3371436229875725e-07	6.873821942535311	ARF1, COG2, COG3, COG4, DDOST, DPM1, GOSR2, MGAT1, NGLY1, RAB1B, SCFD1, SPTAN1, SPTBN1, ST3GAL5, STT3A, STX5, TMED2, TRAPPC1, TUBAL3	19/312	2.890173367413769e-07	0.00011473930219632526	ARF1, COG2, COG3, COG4, DDOST, DPM1, GOSR2, MGAT1, NGLY1, RAB1B, SCFD1, SPTAN1, SPTBN1, ST3GAL5, STT3A, STX5, TMED2, TRAPPC1, TUBAL3
Reactome	3	REACTOME: TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	9/84	1.219707284879939e-06	5.913744382287856	LPL, MED14, MED28, MED4, MED6, MED7, NCOR2, RELA, WNT1	9/84	5.160986097093087e-06	0.0003305377004910982	LPL, MED14, MED28, MED4, MED6, MED7, NCOR2, RELA, WNT1
Reactome	4	REACTOME: CLATHRIN MEDIATED ENDOCYTOSIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	8/145	0.0003605393861654831	3.443047285008372	AP2M1, ARPC1A, CD4, EGF, EGFR, GAPVD1, HIP1R, PIP5K1C	8/145	0.0017289018832176753	0.041777705779065144	AP2M1, ARPC1A, CD4, EGF, EGFR, GAPVD1, HIP1R, PIP5K1C
Reactome	5	REACTOME: NUCLEAR RNA DECAY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NUCLEAR_RNA_DECAY	4/35	0.0006264865902181174	3.203088220530331	EXOSC3, EXOSC5, MPHOSPH6, YTHDC2	4/35	0.0019207162431538693	0.04510481977673003	EXOSC3, EXOSC5, MPHOSPH6, YTHDC2
Reactome	6	REACTOME: INTERLEUKIN 12 SIGNALING	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTERLEUKIN_12_SIGNALING	4/47	0.0017060208480897722	2.7680156659263955	HNRNPF, JAK1, PSME2, RAP1B	5/47	0.0007247077648804182	0.018234165012794807	ARF1, HNRNPF, JAK1, PSME2, RAP1B
Reactome	7	REACTOME: RETROGRADE TRANSPORT AT THE TRANS GOLGI NETWORK	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK	4/49	0.0017617148324732513	2.7540643891738186	RAB6A, RAB6B, RABEPK, VPS53	7/49	8.732448734737028e-06	0.0004921608106897789	COG2, COG3, COG4, RAB6A, RAB6B, RABEPK, VPS53
Reactome	8	REACTOME: POST TRANSLATIONAL MODIFICATION SYNTHESIS OF GPI ANCHORED PROTEINS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	5/93	0.0026199650527703967	2.5817045016154445	LY6D, LYPD4, PIGH, PIGK, PIGY	6/93	0.0030024051631010705	0.06314013245984192	DPM1, LY6D, LYPD4, PIGH, PIGK, PIGY
Reactome	9	REACTOME: HIV TRANSCRIPTION ELONGATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIV_TRANSCRIPTION_ELONGATION	3/43	0.008473219261309435	2.0719515552189027	CTDP1, ELOA, ERCC3	3/43	0.027853127423824137	0.3244499314519485	CTDP1, ELOA, ERCC3
Reactome	10	REACTOME: HEME SIGNALING	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HEME_SIGNALING	3/49	0.011238712620394862	1.9492834337740388	CRTC2, CRTC3, SLC46A1	3/49	0.038927495285670265	0.4003565026095577	CRTC2, CRTC3, SLC46A1
KEGG	1	KEGG: PANCREATIC CANCER	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PANCREATIC_CANCER	6/70	0.00038415114767020766	3.4154978649980974	AKT1, EGF, EGFR, IKBKG, JAK1, RELA	6/70	0.00038415114767020766	0.07145211346665863	AKT1, EGF, EGFR, IKBKG, JAK1, RELA
KEGG	2	KEGG: N GLYCAN BIOSYNTHESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_N_GLYCAN_BIOSYNTHESIS	4/46	0.002657616370790896	2.5755077096510144	DDOST, DPM1, MGAT1, STT3A	4/46	0.0036321545536319878	0.16889518674388743	DDOST, DPM1, MGAT1, STT3A
KEGG	3	KEGG: GLYCOSYLPHOSPHATIDYLINOSITOL GPI ANCHOR BIOSYNTHESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	3/25	0.0031514024906013666	2.5014961260915656	PIGH, PIGK, PIGY	3/25	0.004783159764106662	0.17773233993748142	PIGH, PIGK, PIGY
KEGG	4	KEGG: RNA POLYMERASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RNA_POLYMERASE	3/29	0.0042161182300371695	2.3750872189689467	POLR1H, POLR3A, POLR3F	3/29	0.007302722112781088	0.17773233993748142	POLR1H, POLR3A, POLR3F
