variable,test,statistic,p_value,fdr
IC Level,Chi-square,11.6031,0.003022890820712772,0.008464094297995762
TC Level,Chi-square,0.4817,0.785957254120952,0.8464155044379482
Immune phenotype,Chi-square,1.8731,0.3919703001167541,0.49887129105768707
Sex,Fisher's exact,1.5899,0.2430313705018963,0.3780487985585053
Baseline ECOG Score,Chi-square,8.794,0.012314128405889059,0.028732966280407807
TCGA Subtype,Chi-square,2.6903,0.44187570651417296,0.5155216575998685
Lund,Chi-square,22.9818,0.0008026085280772933,0.002809129848270527
Met Disease Status,Chi-square,15.3944,0.0004541082051251354,0.002119171623917299
Tobacco Use History,Chi-square,3.3424,0.1880179922109393,0.32903148636914376
Received platinum,Fisher's exact,0.6447,0.18205960180693864,0.32903148636914376
Intravesical BCG administered,Fisher's exact,0.9688,1.0,1.0
FMOne mutation burden per MB,Mann-Whitney U,7680.5,1.1404593757728374e-07,7.983215630409861e-07
Neoantigen burden per MB,Mann-Whitney U,6626.5,5.341916013999595e-09,7.478682419599434e-08
sizeFactor,Mann-Whitney U,8371.0,0.37785874302519007,0.49887129105768707
