variable,coefficient,odds_ratio,or_ci_lower,or_ci_upper,p_value
Intercept,-2.4795,0.0838,0.0294,0.2391,3.585714738700053e-06
IC Level,0.4717,1.6028,0.9665,2.658,0.06756844113820103
immpheno_excluded,0.0997,1.1048,0.5104,2.3917,0.8002981119801261
immpheno_inflamed,-0.3646,0.6945,0.2575,1.873,0.47137414166615577
TMB,0.1203,1.1278,1.0751,1.1831,8.483622831035487e-07
TMB_missing,-0.5483,0.5779,0.235,1.4211,0.23232409675207621
ECOG,-0.9692,0.3794,0.2079,0.6923,0.0015860928183693355
tcga_II,-0.1799,0.8354,0.3794,1.8394,0.6551571576249114
tcga_III,-0.5927,0.5528,0.2101,1.4548,0.22988813048042933
tcga_IV,0.184,1.202,0.4927,2.9321,0.6859872032324998
Sex (Male),0.2777,1.3201,0.5979,2.9146,0.4919974538800307
