gene,resp_mutated,resp_total,resp_freq,nonresp_mutated,nonresp_total,nonresp_freq,total_mutated,odds_ratio,p_value,fdr
FBXW7,7,60,0.1167,5,167,0.0299,12,4.2792,0.016711392321743807,0.34644759205665315
CDKN2A,6,60,0.1,36,167,0.2156,42,0.4043,0.05338918277063297,0.34644759205665315
ATM,6,60,0.1,5,167,0.0299,11,3.6,0.07161248039663975,0.34644759205665315
ERBB3,7,60,0.1167,8,167,0.0479,15,2.625,0.07548888926308174,0.34644759205665315
KDM6A,16,60,0.2667,27,167,0.1617,43,1.8855,0.08538230121706512,0.34644759205665315
CREBBP,10,60,0.1667,14,167,0.0838,24,2.1857,0.08768288482164502,0.34644759205665315
FRS2,8,60,0.1333,10,167,0.0599,18,2.4154,0.09295778865558503,0.34644759205665315
ZNF703,6,60,0.1,7,167,0.0419,13,2.5397,0.11074398021929831,0.34644759205665315
MDM2,8,60,0.1333,11,167,0.0659,19,2.1818,0.11135815458963852,0.34644759205665315
CDKN2B,5,60,0.0833,28,167,0.1677,33,0.4513,0.13679673847945245,0.38303086774246686
ARID1A,18,60,0.3,36,167,0.2156,54,1.5595,0.21660136350813983,0.5513489252934468
EGFR,1,60,0.0167,9,167,0.0539,10,0.2976,0.2981183570990102,0.6667020552579248
FGF10,5,60,0.0833,7,167,0.0419,12,2.0779,0.3095402399411794,0.6667020552579248
RICTOR,6,60,0.1,10,167,0.0599,16,1.7444,0.3763816953010347,0.7273435585043182
STAG2,6,60,0.1,11,167,0.0659,17,1.5758,0.3980404569116253,0.7273435585043182
RB1,12,60,0.2,25,167,0.1497,37,1.42,0.4156248905738961,0.7273435585043182
RAF1,5,60,0.0833,9,167,0.0539,14,1.596,0.5308978076972983,0.807202466099647
PIK3CA,11,60,0.1833,24,167,0.1437,35,1.3376,0.532171161749792,0.807202466099647
TP53,33,60,0.55,83,167,0.497,116,1.2369,0.5477445305676176,0.807202466099647
MLL2,12,60,0.2,41,167,0.2455,53,0.7683,0.5939573682940423,0.8315403156116592
FGF19,3,60,0.05,12,167,0.0719,15,0.6798,0.7644354683285521,1.0
TSC1,4,60,0.0667,14,167,0.0838,18,0.7806,0.7868607567500331,1.0
FGFR3,13,60,0.2167,34,167,0.2036,47,1.082,0.8535633981116262,1.0
TERT,40,60,0.6667,113,167,0.6766,153,0.9558,0.8740145520383971,1.0
FGF3,4,60,0.0667,13,167,0.0778,17,0.8462,1.0,1.0
ERBB2,7,60,0.1167,19,167,0.1138,26,1.0288,1.0,1.0
CCND1,6,60,0.1,19,167,0.1138,25,0.8655,1.0,1.0
MYC,2,60,0.0333,8,167,0.0479,10,0.6853,1.0,1.0
