gene,log2FC,mean_responder,mean_nonresponder,statistic,p_value,fdr
SGOL1,0.6836,9.2954,8.6118,10755.0,2.5915804961818295e-06,0.004637980148019828
PSMC4,0.2779,11.7196,11.4417,10660.0,5.400188265309747e-06,0.004637980148019828
FANCI,0.4552,13.2184,12.7632,10658.0,5.482988848219179e-06,0.004637980148019828
ESPL1,0.6354,10.1714,9.5361,10651.0,5.782467706504044e-06,0.004637980148019828
POLA2,0.3819,10.2514,9.8695,10649.0,5.870868942518681e-06,0.004637980148019828
DSN1,0.3762,9.7682,9.392,10647.0,5.960562806251386e-06,0.004637980148019828
RFC5,0.4222,9.9468,9.5246,10566.0,1.0923831508711632e-05,0.006954508368682505
NUF2,0.7368,9.9246,9.1878,10543.0,1.2935973313486266e-05,0.007549218426195359
GPATCH1,0.2532,10.2062,9.9529,10495.0,1.8332044321900198e-05,0.007612677416450518
SPAG5,0.53,11.7358,11.2057,10489.0,1.9140987768336583e-05,0.007612677416450518
POLE,0.3443,12.0727,11.7283,10486.0,1.955809978011236e-05,0.007612677416450518
C17orf53,0.4685,8.8075,8.339,10475.0,2.1162791196691708e-05,0.007612677416450518
BRCC3,0.3395,9.7395,9.3999,10462.0,2.3220916964222145e-05,0.007612677416450518
CSTF2,0.2746,10.3641,10.0895,10455.0,2.4406648366397643e-05,0.007612677416450518
MCM2,0.5613,10.6666,10.1053,10449.0,2.5468625119947496e-05,0.007612677416450518
BLM,0.4358,10.7855,10.3497,10448.0,2.5649840047834867e-05,0.007612677416450518
ARL6IP1,0.3768,12.0676,11.6908,10446.0,2.601595559369e-05,0.007612677416450518
CCNB2,0.5494,9.6866,9.1372,10444.0,2.6387037776062717e-05,0.007612677416450518
INCENP,0.3676,10.9264,10.5588,10422.0,3.081545730423816e-05,0.007612677416450518
RFC4,0.4268,10.1753,9.7485,10419.0,3.147143571639154e-05,0.007612677416450518
E2F8,0.5691,10.06,9.4909,10419.0,3.147143571639154e-05,0.007612677416450518
CHAF1B,0.5064,9.6449,9.1385,10411.0,3.3286196889649407e-05,0.007612677416450518
TMPO,0.3649,13.1609,12.796,10407.0,3.423043520277542e-05,0.007612677416450518
RNASEH2A,0.401,10.8161,10.4151,10401.0,3.569462556936381e-05,0.007612677416450518
NUSAP1,0.51,10.8002,10.2902,10401.0,3.569462556936381e-05,0.007612677416450518
PLK1,0.5223,9.9901,9.4679,10397.0,3.6703583686737484e-05,0.007612677416450518
HIST1H2AM,0.5355,11.5663,11.0308,10396.0,3.696002172773349e-05,0.007612677416450518
PRC1,0.5129,10.8674,10.3545,10371.0,4.3952128401430576e-05,0.008024230088678844
EXO1,0.5706,10.6256,10.055,10368.0,4.4870915722205274e-05,0.008024230088678844
POLQ,0.4899,10.9015,10.4116,10363.0,4.644283147231544e-05,0.008024230088678844
RPA3,0.3867,9.1444,8.7577,10361.0,4.7086102639448464e-05,0.008024230088678844
FEN1,0.4157,9.0578,8.6421,10347.0,5.1831288249385575e-05,0.008024230088678844
HIST1H2AI,0.7089,10.6419,9.933,10345.0,5.2545075988277844e-05,0.008024230088678844
BUB1B,0.4823,12.04,11.5577,10344.0,5.2905453331235665e-05,0.008024230088678844
ZWINT,0.5351,9.1167,8.5815,10343.0,5.326817188710374e-05,0.008024230088678844
TYMS,0.5349,10.1077,9.5728,10326.0,5.980674055726693e-05,0.008024230088678844
BRCA1,0.3943,12.2789,11.8846,10322.0,6.145208666901618e-05,0.008024230088678844
CEP85,0.365,10.3153,9.9503,10316.0,6.40006681928668e-05,0.008024230088678844
PRIM1,0.4112,9.7385,9.3272,10315.0,6.443503993358002e-05,0.008024230088678844
RAD51,0.4585,9.6466,9.1881,10315.0,6.443503993358002e-05,0.008024230088678844
KIF4A,0.5343,11.5236,10.9893,10313.0,6.531216836422878e-05,0.008024230088678844
MYBL2,0.7262,11.1517,10.4255,10313.0,6.531216836422878e-05,0.008024230088678844
COPA,0.2932,14.0281,13.7349,10304.0,6.94009676491037e-05,0.008100249607444553
TPX2,0.5638,11.7547,11.1908,10297.0,7.274734701441978e-05,0.00835163395314724
KPNA2,0.4343,12.3783,11.944,10289.0,7.675854794964783e-05,0.008670001795022319
KNTC1,0.3668,12.9531,12.5863,10282.0,8.043904625769125e-05,0.008707799003808072
CDCA8,0.5091,9.9956,9.4865,10281.0,8.097825328406081e-05,0.008707799003808072
ECT2,0.4459,11.9529,11.507,10279.0,8.206693335018318e-05,0.008707799003808072
MCM10,0.5694,9.8909,9.3215,10264.0,9.06841582790059e-05,0.008859741862453889
MCM4,0.4849,12.6284,12.1435,10263.0,9.128802703697322e-05,0.008859741862453889
PCDHGC3,-0.5969,9.3405,9.9374,4890.0,2.6951781926961714e-06,0.004637980148019828
ZSWIM6,-0.3517,10.0912,10.443,4917.0,3.3269524976409647e-06,0.004637980148019828
KCND3,-1.0596,6.9705,8.0302,4978.0,5.318585574186121e-06,0.004637980148019828
CHST3,-0.645,7.8696,8.5146,5062.0,9.996366401273138e-06,0.006954508368682505
ACVR1,-0.3137,10.9039,11.2176,5204.0,2.7922314588216667e-05,0.007612677416450518
SH3TC1,-0.6244,8.4827,9.1071,5236.0,3.495525048575592e-05,0.007612677416450518
MMP10,-1.6432,6.0566,7.6998,5240.5,3.606978530190402e-05,0.007612677416450518
EXT1,-0.408,11.7945,12.2025,5251.0,3.880329783148698e-05,0.00776398556325438
RAPGEF3,-0.6763,7.9076,8.5839,5264.0,4.2460352188369204e-05,0.008024230088678844
TGFB1,-0.4782,10.4016,10.8798,5281.0,4.773781590737117e-05,0.008024230088678844
TENC1,-0.486,9.8117,10.2977,5301.0,5.4742744910811235e-05,0.008024230088678844
F2RL1,-0.6652,7.5368,8.202,5321.0,6.271412285656766e-05,0.008024230088678844
NFIA,-0.5736,10.8873,11.4608,5323.0,6.356906915003406e-05,0.008024230088678844
IFNGR1,-0.3595,11.7883,12.1479,5326.0,6.48722010628639e-05,0.008024230088678844
PLK3,-0.4559,9.2812,9.7371,5327.0,6.531216836422878e-05,0.008024230088678844
ST5,-0.4174,10.4213,10.8387,5333.0,6.801185347600714e-05,0.008100249607444553
OBSCN,-0.6405,12.0898,12.7303,5334.0,6.847194181558097e-05,0.008100249607444553
LPAR6,-0.5008,9.8537,10.3545,5355.0,7.884171608352521e-05,0.008707799003808072
NOTCH4,-0.4591,8.835,9.2941,5365.0,8.428592786638358e-05,0.008809766460422154
ABCA6,-0.9368,9.6315,10.5684,5377.0,9.128802703697322e-05,0.008859741862453889
DLC1,-0.5007,10.5199,11.0206,5383.0,9.499175616437966e-05,0.008859741862453889
IL1RL1,-0.8826,6.7043,7.5869,5391.0,0.0001001511623439316,0.008859741862453889
UST,-0.709,8.1192,8.8281,5391.0,0.0001001511623439316,0.008859741862453889
LTBP4,-0.5483,10.3398,10.888,5394.0,0.00010215327137895888,0.008859741862453889
SSH1,-0.2414,11.4848,11.7262,5398.0,0.00010488156320977121,0.008859741862453889
GRB10,-0.4766,9.9161,10.3927,5407.0,0.00011127372114746531,0.009061044990647669
THBD,-0.7755,10.3189,11.0944,5415.0,0.0001172625102627795,0.009438958153680975
MACF1,-0.2989,15.5338,15.8326,5431.0,0.0001301634222419446,0.010016862043520198
DCBLD1,-0.3434,10.2143,10.5576,5445.0,0.00014253783411749925,0.010465315810780125
KIAA0141,-0.2741,9.5805,9.8546,5459.0,0.0001560141264341808,0.011036029569884526
PIEZO2,-0.6374,9.6664,10.3038,5465.0,0.0001621492415258134,0.01105963803486339
ETS2,-0.397,12.15,12.547,5483.0,0.00018194474055362829,0.011797768686083879
S100A2,-1.505,7.7501,9.2551,5518.0,0.00022710642165830878,0.013829793659766405
