gene,log2FC,p_value,ranking_metric
SGOL1,0.6836,2.5915804961818295e-06,5.586435297144862
PSMC4,0.2779,5.400188265309747e-06,5.267591099221494
FANCI,0.4552,5.482988848219179e-06,5.260982637421607
ESPL1,0.6354,5.782467706504044e-06,5.237886783966121
POLA2,0.3819,5.870868942518681e-06,5.231297614423263
DSN1,0.3762,5.960562806251386e-06,5.224712731516551
RFC5,0.4222,1.0923831508711632e-05,4.961625007122667
NUF2,0.7368,1.2935973313486266e-05,4.8882008890368445
GPATCH1,0.2532,1.8332044321900198e-05,4.736789101419974
SPAG5,0.53,1.9140987768336583e-05,4.718035654267169
POLE,0.3443,1.955809978011236e-05,4.708673342549452
C17orf53,0.4685,2.1162791196691708e-05,4.674427053017856
BRCC3,0.3395,2.3220916964222145e-05,4.634120634526867
CSTF2,0.2746,2.4406648366397643e-05,4.6124918558109504
MCM2,0.5613,2.5468625119947496e-05,4.593994499046459
BLM,0.4358,2.5649840047834867e-05,4.59091533880009
ARL6IP1,0.3768,2.601595559369e-05,4.584760217377226
CCNB2,0.5494,2.6387037776062717e-05,4.5786093611902485
INCENP,0.3676,3.081545730423816e-05,4.511231382915181
E2F8,0.5691,3.147143571639154e-05,4.502083444265562
RFC4,0.4268,3.147143571639154e-05,4.502083444265562
CHAF1B,0.5064,3.3286196889649407e-05,4.477735822271732
TMPO,0.3649,3.423043520277542e-05,4.465587579244759
RNASEH2A,0.401,3.569462556936381e-05,4.447397169357776
NUSAP1,0.51,3.569462556936381e-05,4.447397169357776
PLK1,0.5223,3.6703583686737484e-05,4.435291529769946
HIST1H2AM,0.5355,3.696002172773349e-05,4.432267782142624
PRC1,0.5129,4.3952128401430576e-05,4.357020089176896
EXO1,0.5706,4.4870915722205274e-05,4.348035067328022
POLQ,0.4899,4.644283147231544e-05,4.333081310567481
RPA3,0.3867,4.7086102639448464e-05,4.327107255028263
FEN1,0.4157,5.1831288249385575e-05,4.285407996781797
HIST1H2AI,0.7089,5.2545075988277844e-05,4.27946797556942
BUB1B,0.4823,5.2905453331235665e-05,4.276499559919479
ZWINT,0.5351,5.326817188710374e-05,4.2735322075321704
TYMS,0.5349,5.980674055726693e-05,4.223249865813374
BRCA1,0.3943,6.145208666901618e-05,4.21146336560986
CEP85,0.365,6.40006681928668e-05,4.193815491782362
RAD51,0.4585,6.443503993358002e-05,4.1908778979918635
PRIM1,0.4112,6.443503993358002e-05,4.1908778979918635
MYBL2,0.7262,6.531216836422878e-05,4.1850058974215
KIF4A,0.5343,6.531216836422878e-05,4.1850058974215
COPA,0.2932,6.94009676491037e-05,4.1586344741887125
TPX2,0.5638,7.274734701441978e-05,4.138182840115346
KPNA2,0.4343,7.675854794964783e-05,4.114873249457933
KNTC1,0.3668,8.043904625769125e-05,4.094533087347765
CDCA8,0.5091,8.097825328406081e-05,4.091631595279081
ECT2,0.4459,8.206693335018318e-05,4.085831794845022
MCM10,0.5694,9.06841582790059e-05,4.042468573721732
MCM4,0.4849,9.128802703697322e-05,4.039586179012813
BUB1,0.4334,9.250717710725664e-05,4.033824571507885
NCAPH,0.513,9.312250314502152e-05,4.03094535864501
KIF15,0.5623,9.9492065099043e-05,4.002211554642376
HELLS,0.3743,0.00010215327137895888,3.9907477208662794
CCNA2,0.509,0.00010488156320977121,3.9793008483172247
CACYBP,0.4052,0.00010488156320977121,3.9793008483172247
RFC3,0.4222,0.00010557430226639391,3.97644178011718
NCAPG,0.5307,0.0001062713574819544,3.973583771824005
NEK2,0.5921,0.0001062713574819544,3.973583771824005
HIST1H2BO,0.5421,0.00011127372114746531,3.953607388299455
EIF2AK1,0.2234,0.00012436281506996718,3.9053094558511376
KIF23,0.4643,0.00012517628717990478,3.902477934083192
CASC5,0.4175,0.00012681830154254587,3.8968180675474136
PSMD4,0.3274,0.00013186699773941159,3.8798638814288555
PRR11,0.4745,0.0001388936568609639,3.8573175876186454
NCSTN,0.3236,0.00014161844034452968,3.8488801928436427
PCNA,0.3752,0.00014346284704196659,3.843260554775174
HIST2H2BF,0.4591,0.00014627192110532695,3.8348390346360763
KIF11,0.4553,0.00015204615292536072,3.818024563908037
NDC80,0.5367,0.0001621492415258134,3.7900850784552347
UFC1,0.2851,0.0001621492415258134,3.7900850784552347
SDHC,0.3317,0.00016319357362141071,3.787296947271565
RMI1,0.3767,0.0001642442318471787,3.784509873645983
C1orf112,0.3564,0.00016851084097286448,3.773372154001886
CENPI,0.4374,0.00017068303686668536,3.7678096385880333
CDC6,0.4711,0.00017068303686668536,3.7678096385880333
BORA,0.3037,0.00018664208076314435,3.72899043249273
CHAF1A,0.3895,0.00018783410108722348,3.7262255591968283
KIFC1,0.5191,0.00021055302757893852,3.6766385094022382
HIST1H2BL,0.6005,0.00021323084946649076,3.6711499629482294
ZWILCH,0.2682,0.00021458172204647235,3.668407273760682
MCM7,0.3087,0.00022568163928464484,3.6465037722546314
KIAA1524,0.3945,0.00023881241956134563,3.6219430912499324
RACGAP1,0.3929,0.00024182613133558352,3.6164967717892837
HIST1H3H,0.6133,0.0002433463323358863,3.6137751949651205
EZH2,0.4425,0.0002433463323358863,3.6137751949651205
SKP2,0.4709,0.0002448754948518118,3.6110546733608864
ATAD5,0.4061,0.0002655926791598056,3.575783900103409
RAD54L,0.5149,0.0002655926791598056,3.575783900103409
ERI2,0.2912,0.0002655926791598056,3.575783900103409
HIST1H3B,0.4722,0.0002672525467436838,3.5730781475543245
PLK4,0.4018,0.00026892213490519346,3.5703734496489643
MELK,0.5203,0.00027060149626092876,3.5676698063486385
PSENEN,0.2878,0.00027060149626092876,3.5676698063486385
TICRR,0.5353,0.00027398975031102065,3.56226568340817
CIT,0.456,0.00027569874953144223,3.559565203690476
HIST1H2AH,0.4531,0.0002861643523740738,3.54338446747165
GTSE1,0.4746,0.0002879443968249758,3.5406913680862204
SLBP,0.2599,0.0002970012772274606,3.5272416830341493
HIST1H2BK,0.321,0.00031012987915829654,3.508456390072074
METTL13,0.2521,0.0003120491529742525,3.5057769919297814
HJURP,0.5024,0.0003178739075718316,3.497745119341097
FOXM1,0.5119,0.0003178739075718316,3.497745119341097
CCNE1,0.5846,0.0003178739075718316,3.497745119341097
SPICE1,0.2139,0.0003380331673474993,3.4710406852569444
DNA2,0.3195,0.0003401135740909126,3.4683760348266444
FANCB,0.4438,0.0003443103729240476,3.4630498932528764
