direction,gene
up,ACAD9
up,ACTL6A
up,ANXA9
up,ARL6IP1
up,ATAD5
up,ATF6
up,AURKA
up,BLM
up,BORA
up,BRCA1
up,BRCC3
up,BRIP1
up,BUB1
up,BUB1B
up,C17orf53
up,C1orf112
up,CACYBP
up,CASC5
up,CBX3
up,CCDC77
up,CCNA2
up,CCNB2
up,CCNE1
up,CCNE2
up,CCNF
up,CDC6
up,CDCA8
up,CDK1
up,CDK2
up,CENPF
up,CENPI
up,CENPJ
up,CEP152
up,CEP55
up,CEP85
up,CHAF1A
up,CHAF1B
up,CIT
up,COPA
up,CREB3L4
up,CSTF2
up,CXCL10
up,CXCL9
up,DBF4
up,DEPDC1
up,DIAPH3
up,DNA2
up,DNAJA1
up,DONSON
up,DSN1
up,DTL
up,DUSP12
up,E2F8
up,ECT2
up,EIF2AK1
up,ENSA
up,EPB41
up,ERI2
up,ESCO2
up,ESPL1
up,EXO1
up,EZH2
up,FAM221A
up,FAM50A
up,FANCA
up,FANCB
up,FANCD2
up,FANCI
up,FEN1
up,FOXM1
up,GGCT
up,GGH
up,GPATCH1
up,GTSE1
up,H2AFV
up,H2AFZ
up,HDGF
up,HELLS
up,HIST1H2AG
up,HIST1H2AH
up,HIST1H2AI
up,HIST1H2AM
up,HIST1H2BF
up,HIST1H2BK
up,HIST1H2BL
up,HIST1H2BO
up,HIST1H3B
up,HIST1H3H
up,HIST2H2AC
up,HIST2H2BE
up,HIST2H2BF
up,HJURP
up,HMGB2
up,HMGB3
up,ILF2
up,INCENP
up,KIAA1524
up,KIF11
up,KIF14
up,KIF15
up,KIF18A
up,KIF22
up,KIF23
up,KIF2C
up,KIF4A
up,KIFC1
up,KNOP1
up,KNSTRN
up,KNTC1
up,KPNA2
up,LIN9
up,LRIF1
up,MCM10
up,MCM2
up,MCM4
up,MCM6
up,MCM7
up,MELK
up,METTL13
up,MKI67
up,MTMR4
up,MYBL2
up,NCAPD2
up,NCAPG
up,NCAPH
up,NCSTN
up,NDC80
up,NDUFAB1
up,NDUFS2
up,NEK2
up,NOL7
up,NUF2
up,NUP107
up,NUP210
up,NUSAP1
up,PARP2
up,PARPBP
up,PCNA
up,PIGM
up,PLK1
up,PLK4
up,PODXL2
up,POLA2
up,POLE
up,POLQ
up,PPM1H
up,PPOX
up,PRC1
up,PRIM1
up,PRIM2
up,PRR11
up,PSENEN
up,PSMB4
up,PSMC3IP
up,PSMC4
up,PSMD4
up,RAB11FIP4
up,RAB5A
up,RACGAP1
up,RAD51
up,RAD54L
up,RFC2
up,RFC3
up,RFC4
up,RFC5
up,RMI1
up,RNASEH2A
up,RPA1
up,RPA3
up,SASS6
up,SDHC
up,SGOL1
up,SKP2
up,SLBP
up,SNORA22
up,SPAG5
up,SPICE1
up,STMN1
up,SUDS3
up,TDRKH
up,TICRR
up,TIMELESS
up,TMEM106C
up,TMPO
up,TOP2A
up,TOPBP1
up,TPX2
up,TTK
up,TYMS
up,UBE2T
up,UFC1
up,UHMK1
up,USF1
up,USP21
up,VPS72
up,VRK1
up,WHSC1
up,XRCC3
up,ZWILCH
up,ZWINT
down,A4GALT
down,ABCA6
down,ABCA9
down,ACVR1
down,ADAMTS10
down,ADCY9
down,ADRB2
down,ALDH1L1
down,ALDOB
down,AMT
down,ANKH
down,ANTXR2
down,AP3M2
down,ARHGAP26
down,ARHGAP6
down,ARHGEF17
down,ATXN1
down,C11orf24
down,CACHD1
down,CCDC8
down,CD59
down,CD93
down,CELSR1
down,CEP68
down,CES1
down,CFH
down,CGNL1
down,CHD9
down,CHST3
down,CLK4
down,CNKSR3
down,CNN2
down,COL27A1
down,COL4A6
down,CPNE8
down,CSRP1
down,CTDSP1
down,DCBLD1
down,DDIT4
down,DFNA5
down,DHRS1
down,DLC1
down,DNMBP
down,DOCK6
down,DUSP6
down,DUSP7
down,DYNC2H1
down,EFNB1
down,EHD2
down,EOGT
down,EPHB6
down,ETS2
down,EVC
down,EXT1
down,EXTL3
down,F2RL1
down,FCGRT
down,FOXC2
down,FOXO1
down,FRMD6
down,GADD45A
down,GANC
down,GGT5
down,GLI3
down,GLYCTK
down,GPCPD1
down,GPR133
down,GRB10
down,GUCY1A2
down,HIP1
down,HIPK2
down,HMGA2
down,HSPG2
down,IFNGR1
down,IGFBP4
down,IGFBP7
down,IL1RL1
down,IRAK3
down,IRS2
down,ITGA6
down,ITGB3
down,JAG1
down,JAG2
down,KCND3
down,KIAA0141
down,KIF13B
down,KIT
down,KLF7
down,LCAT
down,LDB2
down,LDLR
down,LIF
down,LIMS1
down,LOXL1
down,LPAR6
down,LRP1
down,LRP10
down,LRRC32
down,LRRC8A
down,LTBP2
down,LTBP4
down,LYVE1
down,MACF1
down,MAF
down,MALL
down,MAMDC2
down,MAP3K4
down,MAP3K5
down,MICA
down,MMP10
down,MMP13
down,MSN
down,MST1R
down,NDST1
down,NFATC4
down,NFIA
down,NFIX
down,NHS
down,NID1
down,NISCH
down,NOTCH3
down,NOTCH4
down,NR2F1
down,NT5E
down,OBSCN
down,PCDHB12
down,PCDHGC3
down,PDE4A
down,PDE4D
down,PDLIM5
down,PDLIM7
down,PFKFB3
down,PHLDA1
down,PHLDB1
down,PIEZO2
down,PKD1
down,PLA2R1
down,PLEC
down,PLEKHG2
down,PLEKHH2
down,PLK3
down,PORCN
down,PRICKLE2
down,PRKG1
down,PTHLH
down,PTPRE
down,PTPRG
down,RAB34
down,RAPGEF3
down,RAPGEF4
down,RBMS3
down,RIN2
down,RIN3
down,RNF217
down,S100A2
down,SAMD4A
down,SESN1
down,SESN3
down,SGIP1
down,SH3RF2
down,SH3TC1
down,SHC1
down,SHROOM4
down,SKI
down,SLC20A2
down,SLC22A3
down,SLCO3A1
down,SLIT3
down,SNED1
down,SNX18
down,SPRED1
down,SPTBN1
down,SSH1
down,ST5
down,SULF2
down,SYNE1
down,SYNPO
down,TCN1
down,TENC1
down,TEP1
down,TGFB1
down,TGFBR2
down,THBD
down,TLR2
down,TM4SF1
down,TNFRSF10B
down,TNFRSF1A
down,TNS1
down,TPST1
down,TPT1
down,TRIB2
down,TSHZ2
down,UGT1A10
down,UST
down,WWTR1
down,YAP1
down,ZFP36L2
down,ZHX3
down,ZSWIM6
down,ZYX
