collection,direction,term,overlap,term_size,query_size,p_value,genes,fdr
Hallmark,Upregulated in R,HALLMARK_E2F_TARGETS,50,134,200,2.9090391857952796e-44,"AURKA, BRCA1, BUB1B, CCNB2, CCNE1, CDCA8, CDK1, CIT, DEPDC1, DIAPH3, DONSON, E2F8, ESPL1, EZH2, HELLS, HMGB2, HMGB3, KIF22, KIF2C, KIF4A, KPNA2, MCM2, MCM4, MCM6, MCM7, MELK, MKI67, MYBL2, NCAPD2, NUP107, PCNA, PLK1, PLK4, POLA2, POLE, PRIM2, PSMC3IP, RACGAP1, RFC2, RFC3, RNASEH2A, RPA1, RPA3, SLBP, SPAG5, STMN1, TIMELESS, TMPO, TOP2A, UBE2T",2.1817793893464596e-42
Hallmark,Upregulated in R,HALLMARK_G2M_CHECKPOINT,43,118,200,2.0036470395820986e-37,"AURKA, BUB1, CCNA2, CCNB2, CCNF, CDC6, CDK1, CENPF, CHAF1A, DBF4, ESPL1, EXO1, EZH2, HMGB3, INCENP, KIF11, KIF15, KIF22, KIF23, KIF2C, KIF4A, KPNA2, MCM2, MCM6, MKI67, MYBL2, NDC80, NEK2, NUSAP1, PLK1, PLK4, POLA2, POLE, POLQ, PRC1, PRIM2, RACGAP1, RAD54L, STMN1, TMPO, TOP2A, TPX2, TTK",7.51367639843287e-36
Hallmark,Upregulated in R,HALLMARK_MITOTIC_SPINDLE,27,134,200,3.727094557148995e-16,"AURKA, BUB1, CCNB2, CDK1, CENPF, CENPJ, ECT2, EPB41, ESPL1, INCENP, KIF11, KIF15, KIF22, KIF23, KIF2C, KIF4A, KNTC1, NDC80, NEK2, NUSAP1, PLK1, PRC1, RACGAP1, SASS6, TOP2A, TPX2, TTK",9.317736392872488e-15
Hallmark,Upregulated in R,HALLMARK_SPERMATOGENESIS,13,42,200,7.023668765852208e-11,"AURKA, BUB1, CCNB2, CDK1, DBF4, EZH2, KIF2C, NCAPH, NEK2, PARP2, RFC4, TOPBP1, TTK",1.3169378935972889e-09
Hallmark,Upregulated in R,HALLMARK_MYC_TARGETS_V1,16,124,200,3.8674459136035896e-07,"CBX3, CCNA2, CDK2, CSTF2, HDGF, ILF2, KPNA2, MCM2, MCM4, MCM6, MCM7, NDUFAB1, PCNA, PSMC4, RFC4, TYMS",4.844119877476283e-06
Hallmark,Upregulated in R,HALLMARK_DNA_REPAIR,13,81,200,3.8752959019810266e-07,"ARL6IP1, FEN1, PCNA, POLA2, PRIM1, RAD51, RFC2, RFC3, RFC4, RFC5, RPA3, TYMS, ZWINT",4.844119877476283e-06
Hallmark,Downregulated in R,HALLMARK_TGF_BETA_SIGNALING,7,40,200,0.00011678300588605294,"ACVR1, HIPK2, LTBP2, SKI, SPTBN1, TGFB1, WWTR1",0.0012512464916362815
Hallmark,Downregulated in R,HALLMARK_COAGULATION,9,83,200,0.0005574648951062785,"CFH, CSRP1, DUSP6, ITGB3, KLF7, LRP1, MMP10, RAPGEF3, THBD",0.005226233391621361
Hallmark,Downregulated in R,HALLMARK_TNFA_SIGNALING_VIA_NFKB,12,144,200,0.0008050513526110319,"ETS2, F2RL1, GADD45A, IRS2, JAG1, LDLR, LIF, PDLIM5, PFKFB3, PHLDA1, PTPRE, TLR2",0.0067087612717586
Hallmark,Downregulated in R,HALLMARK_P53_PATHWAY,10,135,200,0.005115175106500132,"DDIT4, GADD45A, JAG2, KIF13B, LIF, PLK3, PTPRE, SESN1, TGFB1, TM4SF1",0.03836381329875099
