gene,coefficient,rank
IFT74,0.277933196139018,1
CHST3,-0.2691563378728728,2
DHRS1,-0.250614925535889,3
AP3M2,-0.23209182914265625,4
AIM1,-0.2281549711114287,5
GLYCTK,-0.22236580039029372,6
TMED3,0.21249063358940254,7
AKR1B1,0.20548822001640232,8
EML1,0.20528049751841912,9
YAP1,-0.2044933601502705,10
TOM1L1,0.1990928197613062,11
MERTK,-0.19717964388710857,12
CXCL10,0.1903971038465023,13
ITGAE,0.15772536796015324,14
ZNF649,-0.15380708560214626,15
CXCL9,0.15179782253173874,16
ARHGEF5,-0.147950316521672,17
DST,0.14167993363291165,18
RAC1,0.13167023086053156,19
UGT1A10,-0.13009193954707746,20
RPS3,-0.1284768837532919,21
SNORA49,0.12256663932983694,22
RNF139,-0.11926730393402264,23
NTAN1,0.11063448976136452,24
SH3TC1,-0.10802415067264574,25
GSTM1,0.1077438331440222,26
ZDHHC13,0.10724456132057567,27
DSC3,-0.10332739187273865,28
NHSL1,-0.1011169044416037,29
BNIPL,0.09879770447313321,30
GLB1L2,0.0969361269438976,31
TM4SF1,-0.09435724883100242,32
SLC20A2,-0.09326914469907006,33
NEAT1,-0.09236068275470273,34
UBB,0.09136960667214708,35
TPST1,-0.08690283000532503,36
CGNL1,-0.08305139569993696,37
NCCRP1,0.08289365363550935,38
GBP1,0.07941686216395213,39
PPP2R3A,-0.07725227001648959,40
GPLD1,0.07572307681629942,41
VWA5B1,-0.07566195602610351,42
SGK223,-0.07564754772398848,43
GRIN2D,0.07380379144110127,44
MOCOS,0.07240283445371967,45
LDLR,-0.07228349401415442,46
ALDOB,-0.07027251735748129,47
SYT1,0.06580852023540158,48
CLTCL1,-0.06416471947864423,49
ZFP36L2,-0.05742950540017485,50
SPTBN1,-0.05555533621353782,51
CMIP,-0.055222708813734415,52
CXXC1,0.05491957343753792,53
SLC9A7,-0.0516087586979569,54
FAM3B,0.050051499334306394,55
F2RL1,-0.04862203160490199,56
INCENP,0.04827016132269702,57
CFTR,-0.048047879602052375,58
STEAP1,-0.04458698019450644,59
E2F7,0.04411786592658725,60
GYLTL1B,-0.04346207846979501,61
PAX6,0.039796779778502586,62
SNORA22,0.03825018464793455,63
PSMB9,0.037225532535868855,64
YEATS4,0.03508521693063606,65
HJURP,0.034752546744658525,66
DIAPH2,-0.034076128277434725,67
RAB3IP,0.033190244005686244,68
UGCG,-0.032244275479168624,69
OBSCN,-0.03169064606966786,70
ELN,-0.031302000091312905,71
ASNS,0.03082009667739757,72
SNORA37,0.03022132728231135,73
COBLL1,-0.02974083186158169,74
ZBTB18,0.028819420213582362,75
TNFRSF11B,-0.028744462189688593,76
MMP10,-0.02777983609764756,77
MMRN1,-0.02147575422182978,78
STAT1,0.020896150900747472,79
BNIP3,-0.020301966653429187,80
PALM3,0.01703991372945101,81
EEF1A2,0.017031285835157055,82
TCF7L2,-0.01450193666333635,83
CDCP1,-0.013045445350238815,84
CA2,-0.011260076657450047,85
A2ML1,0.011197567007191817,86
CLCA2,0.008492842537761511,87
GATSL2,0.008096974234456121,88
ATL1,0.006996676853773681,89
C1orf74,-0.0067484052368470635,90
PTPRE,-0.0052116064826536425,91
SSR4,0.004856061012732415,92
SNORA27,0.003038173048947236,93
TNIK,-0.0027185502174485333,94
HNMT,-0.002238390455062555,95
ADRB2,-0.0002480502669554886,96
