gene,importance,rank
PCDHGC3,0.0057960409208473295,1
CDKN1A,0.005290007872876784,2
SGOL1,0.004914634239138899,3
POLE,0.004580834597903894,4
OBSCN,0.004349226904532259,5
CMIP,0.0043178179324967515,6
CHAF1A,0.004254795624534068,7
THBD,0.003985097804519612,8
HELLS,0.003958867645186449,9
MCC,0.003843887317258011,10
TGFB1,0.0038338345379078423,11
PSMB10,0.003680610472324067,12
ESPL1,0.003479937390550419,13
AIM1,0.00344931057111033,14
SHC1,0.003440664303212059,15
SPTBN1,0.003293074479470332,16
UST,0.0032863813376305655,17
LDLR,0.0031289771606729166,18
CACHD1,0.0031118103111227946,19
GBP4,0.0029897869332560895,20
ITGA6,0.002939884249810757,21
CXCL9,0.002922989497671765,22
FREM2,0.0028910541439779963,23
MCM10,0.002875551135468611,24
PPM1H,0.0027990351534768606,25
PLA2R1,0.002793315182819669,26
TFAP2C,0.002730303461943875,27
SNORA22,0.0027133462325316395,28
IGF1R,0.0026646542523150675,29
ANXA9,0.002651112383180366,30
