model_name,fold,metric,value
Expression-only LR,1,auc,0.9783
Expression-only LR,1,accuracy,0.9
Expression-only LR,1,precision,0.8333
Expression-only LR,1,recall,0.7143
Expression-only LR,1,f1,0.7692
Expression-only LR,2,auc,0.9984
Expression-only LR,2,accuracy,0.9833
Expression-only LR,2,precision,0.9333
Expression-only LR,2,recall,1.0
Expression-only LR,2,f1,0.9655
Expression-only LR,3,auc,0.9698
Expression-only LR,3,accuracy,0.8814
Expression-only LR,3,precision,0.8182
Expression-only LR,3,recall,0.6429
Expression-only LR,3,f1,0.72
Expression-only LR,4,auc,0.9983
Expression-only LR,4,accuracy,0.9831
Expression-only LR,4,precision,0.9286
Expression-only LR,4,recall,1.0
Expression-only LR,4,f1,0.963
Expression-only LR,5,auc,0.9933
Expression-only LR,5,accuracy,0.9831
Expression-only LR,5,precision,1.0
Expression-only LR,5,recall,0.9231
Expression-only LR,5,f1,0.96
Clinical-only LR,1,auc,0.6568
Clinical-only LR,1,accuracy,0.7833
Clinical-only LR,1,precision,0.6
Clinical-only LR,1,recall,0.2143
Clinical-only LR,1,f1,0.3158
Clinical-only LR,2,auc,0.6421
Clinical-only LR,2,accuracy,0.7833
Clinical-only LR,2,precision,0.5714
Clinical-only LR,2,recall,0.2857
Clinical-only LR,2,f1,0.381
Clinical-only LR,3,auc,0.8254
Clinical-only LR,3,accuracy,0.8136
Clinical-only LR,3,precision,1.0
Clinical-only LR,3,recall,0.2143
Clinical-only LR,3,f1,0.3529
Clinical-only LR,4,auc,0.6773
Clinical-only LR,4,accuracy,0.8305
Clinical-only LR,4,precision,0.7143
Clinical-only LR,4,recall,0.3846
Clinical-only LR,4,f1,0.5
Clinical-only LR,5,auc,0.8018
Clinical-only LR,5,accuracy,0.7797
Clinical-only LR,5,precision,0.5
Clinical-only LR,5,recall,0.1538
Clinical-only LR,5,f1,0.2353
Integrated LR,1,auc,0.9798
Integrated LR,1,accuracy,0.9167
Integrated LR,1,precision,0.9091
Integrated LR,1,recall,0.7143
Integrated LR,1,f1,0.8
Integrated LR,2,auc,0.9953
Integrated LR,2,accuracy,0.9833
Integrated LR,2,precision,0.9333
Integrated LR,2,recall,1.0
Integrated LR,2,f1,0.9655
Integrated LR,3,auc,0.9778
Integrated LR,3,accuracy,0.9492
Integrated LR,3,precision,1.0
Integrated LR,3,recall,0.7857
Integrated LR,3,f1,0.88
Integrated LR,4,auc,1.0
Integrated LR,4,accuracy,1.0
Integrated LR,4,precision,1.0
Integrated LR,4,recall,1.0
Integrated LR,4,f1,1.0
Integrated LR,5,auc,0.995
Integrated LR,5,accuracy,0.9492
Integrated LR,5,precision,0.8571
Integrated LR,5,recall,0.9231
Integrated LR,5,f1,0.8889
Integrated GB,1,auc,0.9658
Integrated GB,1,accuracy,0.9167
Integrated GB,1,precision,0.8462
Integrated GB,1,recall,0.7857
Integrated GB,1,f1,0.8148
Integrated GB,2,auc,1.0
Integrated GB,2,accuracy,0.9667
Integrated GB,2,precision,0.875
Integrated GB,2,recall,1.0
Integrated GB,2,f1,0.9333
Integrated GB,3,auc,0.9492
Integrated GB,3,accuracy,0.8983
Integrated GB,3,precision,0.8333
Integrated GB,3,recall,0.7143
Integrated GB,3,f1,0.7692
Integrated GB,4,auc,1.0
Integrated GB,4,accuracy,1.0
Integrated GB,4,precision,1.0
Integrated GB,4,recall,1.0
Integrated GB,4,f1,1.0
Integrated GB,5,auc,0.9833
Integrated GB,5,accuracy,0.9492
Integrated GB,5,precision,0.9167
Integrated GB,5,recall,0.8462
Integrated GB,5,f1,0.88
