filename	gene_list_size	cluster_number	cluster_size	n_genes	n_terms	n_edges	n_libraries	density	libraries
permutation_0001	50	1	5	4	1	4	1	1.0	C2: CP: Reactome Pathways
permutation_0002	50	1	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0002	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0003	50	1	8	4	4	14	4	3.5	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0003	50	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0003	50	3	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0004	50	1	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0005	50	1	8	6	2	8	2	1.3333333333333333	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0005	50	2	6	5	1	5	1	1.0	C5: GO: Biological Process
permutation_0005	50	3	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0006	50	1	14	9	5	17	4	1.8888888888888888	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0007	50	1	10	6	4	15	4	2.5	C2: CP: KEGG Legacy, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0007	50	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0007	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0008	50	1	10	7	3	9	3	1.2857142857142858	C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0008	50	2	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0008	50	3	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0009	50	1	10	7	3	9	3	1.2857142857142858	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0010	50	1	5	3	2	6	2	2.0	C2: CP: Canonical pathways, C2: CP: KEGG Legacy
permutation_0010	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0011	50	1	10	7	3	9	2	1.2857142857142858	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0011	50	2	9	6	3	9	2	1.5	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0011	50	3	5	3	2	6	2	2.0	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0011	50	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0011	50	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0012	50	1	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0013	50	1	18	13	5	17	3	1.3076923076923077	C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0013	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0013	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0013	50	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0014	50	1	8	5	3	11	3	2.2	C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0014	50	2	7	5	2	6	2	1.2	C2: CP: Canonical pathways, C5: GO: Biological Process
permutation_0015	50	1	26	16	10	36	7	2.25	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function, H: Hallmark Gene Sets
permutation_0016	50	1	18	13	5	20	4	1.5384615384615385	C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0018	50	1	25	19	6	27	2	1.4210526315789473	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0018	50	2	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0019	50	1	11	8	3	11	3	1.375	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0019	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0019	50	3	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0020	50	1	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0020	50	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0020	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0020	50	4	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0021	50	1	10	7	3	9	2	1.2857142857142858	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0021	50	2	8	5	3	10	3	2.0	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Molecular Function
